,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
443,03/22/2023,03/23/2023,TST* NOTHING BUNDT CAKES,Food & Drink,Sale,-41.51,
444,03/22/2023,03/23/2023,DD DOORDASH DASHMART,Food & Drink,Sale,-19.59,
445,03/21/2023,03/22/2023,LABCORP,Health & Wellness,Sale,-48.31,
446,03/19/2023,03/20/2023,DD DOORDASH EVERDINES,Food & Drink,Sale,-71.69,
447,03/18/2023,03/19/2023,DD DOORDASH LITTLECAE,Food & Drink,Sale,-23.94,
448,03/17/2023,03/19/2023,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-310.0,
449,03/18/2023,03/19/2023,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-88.2,
450,03/17/2023,03/19/2023,DD DOORDASH POKEBROS,Food & Drink,Sale,-49.49,
451,03/16/2023,03/17/2023,DD DOORDASH NICKSREDH,Food & Drink,Sale,-73.16,
452,03/16/2023,03/16/2023,DD DOORDASH ELLIESDEL,Food & Drink,Sale,-40.47,
453,03/14/2023,03/15/2023,USPS PO ,Shopping,Sale,-1.69,
454,03/14/2023,03/15/2023,VENUS.COM,Shopping,Return,45.85,
455,03/13/2023,03/15/2023,HOMEGOODS #,Shopping,Return,140.06,
456,03/14/2023,03/15/2023,MCDONALD'S F,Food & Drink,Sale,-9.78,
457,03/13/2023,03/14/2023,GLO NAIL LOUNGE,Personal,Sale,-60.0,
458,03/13/2023,03/14/2023,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-96.88,
459,03/11/2023,03/12/2023,WHOLEFDS NPV ,Groceries,Sale,-9.59,
460,03/11/2023,03/12/2023,HOMEGOODS #,Shopping,Sale,-521.39,
461,03/10/2023,03/12/2023,CASEYS FOODS,Groceries,Sale,-23.02,
462,03/10/2023,03/10/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-61.9,
463,03/09/2023,03/10/2023,TST* LACEY - CAFE,Food & Drink,Sale,-3.82,
464,03/09/2023,03/10/2023,FLOOR AND DECOR ,Home,Sale,-1.19,
465,03/09/2023,03/10/2023,DD DOORDASH LAZYDOG,Food & Drink,Sale,-76.61,
466,03/08/2023,03/09/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-24.98,
467,03/08/2023,03/08/2023,Payment Thank You - Web,,Payment,1000.0,
468,03/07/2023,03/08/2023,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-58.66,
469,03/07/2023,03/07/2023,COST PLUS WLD ECOMM,Home,Sale,-462.12,
470,03/06/2023,03/07/2023,RITUAL (RITUAL.COM),Groceries,Sale,-39.29,
471,03/05/2023,03/06/2023,SERAPHINE LTD,Shopping,Sale,-100.42,
472,03/04/2023,03/05/2023,LE CHOCOLAT DU BOUCHARD,Food & Drink,Sale,-21.6,
473,03/01/2023,03/03/2023,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-201.43,
474,03/02/2023,03/03/2023,DD DOORDASH SWEETGREE,Food & Drink,Sale,-22.23,
475,02/27/2023,03/01/2023,AMERICAN AIR,Travel,Sale,-100.0,
476,02/28/2023,03/01/2023,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
477,02/28/2023,03/01/2023,DD DOORDASH LAZYDOG,Food & Drink,Sale,-91.27,
478,02/28/2023,03/01/2023,CHICAGO O'HARE INTERNA,Home,Sale,-7.0,
479,02/25/2023,02/27/2023,WATERWAY CAFE,Food & Drink,Sale,-109.54,
480,02/25/2023,02/27/2023,STARBUCKS STORE ,Food & Drink,Sale,-12.45,
481,02/26/2023,02/27/2023,DD DOORDASH DUFFYSSPO,Food & Drink,Sale,-86.29,
482,02/24/2023,02/26/2023,PUBLIX #,Groceries,Sale,-91.17,
483,02/19/2023,02/20/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-61.45,
484,02/19/2023,02/20/2023,TRADER JOE S #,Groceries,Sale,-29.25,
485,02/19/2023,02/20/2023,GLO NAIL LOUNGE,Personal,Sale,-130.0,
486,02/17/2023,02/19/2023,TST* LACEY - CAFE,Food & Drink,Sale,-4.65,
487,02/18/2023,02/19/2023,MADEWELL.COM,Shopping,Sale,-97.74,
488,02/18/2023,02/19/2023,DD DOORDASH LAZYDOG,Food & Drink,Sale,-110.45,
489,02/15/2023,02/16/2023,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-106.14,
490,02/14/2023,02/15/2023,VENUS.COM,Shopping,Sale,-298.41,
491,02/13/2023,02/14/2023,DD DOORDASH BUFFALOWI,Food & Drink,Sale,-126.72,
492,02/13/2023,02/13/2023,DD DOORDASH EGGHARBOR,Food & Drink,Sale,-49.8,
493,02/12/2023,02/13/2023,DD DOORDASH JIMMYJOHN,Food & Drink,Sale,-34.83,
494,02/12/2023,02/13/2023,DD DOORDASH TANAKARAM,Food & Drink,Sale,-115.23,
495,02/10/2023,02/12/2023,JEWEL OSCO ,Groceries,Sale,-22.92,
496,02/10/2023,02/12/2023,DD DOORDASH PANERABRE,Food & Drink,Sale,-53.31,
497,02/10/2023,02/10/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-52.38,
498,02/09/2023,02/10/2023,TST* LACEY - CAFE,Food & Drink,Sale,-13.13,
499,02/09/2023,02/10/2023,TST* LACEY - CAFE,Food & Drink,Sale,-3.27,
500,02/08/2023,02/08/2023,Payment Thank You - Web,,Payment,3316.76,
501,02/06/2023,02/07/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-49.57,
502,02/06/2023,02/06/2023,DD DOORDASH PANDAEXPR,Food & Drink,Sale,-19.88,
503,02/03/2023,02/05/2023,GLO NAIL LOUNGE,Personal,Sale,-60.0,
504,02/03/2023,02/05/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-48.53,
505,02/03/2023,02/05/2023,CASEYS FOODS,Groceries,Sale,-59.06,
506,02/02/2023,02/03/2023,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-23.59,
507,01/29/2023,01/30/2023,DOORDASH*LAZY DOG,Food & Drink,Sale,-129.62,
508,01/28/2023,01/29/2023,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
509,01/24/2023,01/25/2023,WALMART.COM,Shopping,Sale,-33.97,
510,01/24/2023,01/25/2023,CONTAINERSTORE.COM,Shopping,Sale,-93.46,
511,01/23/2023,01/24/2023,WALGREENS #,Health & Wellness,Sale,-8.63,
512,01/23/2023,01/24/2023,BIG LITTLE FEELINGS,Education,Sale,-123.0,
513,01/18/2023,01/18/2023,AMERICAN AIR,Travel,Sale,-799.8,
514,01/16/2023,01/18/2023, - NORTH LAKE SH,Travel,Sale,-90.0,
515,01/18/2023,01/18/2023,AMERICAN AIR,Travel,Sale,-799.8,
516,01/17/2023,01/18/2023,DUPAGE VALLEY ANES LTD,Health & Wellness,Sale,-66.0,
517,01/14/2023,01/15/2023,DD DOORDASH CHEZFRANC,Food & Drink,Sale,-42.55,
518,01/13/2023,01/15/2023,TST* Foxtail,Food & Drink,Sale,-243.13,
519,01/11/2023,01/11/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-60.31,
520,01/09/2023,01/10/2023,GLO NAIL LOUNGE,Personal,Sale,-60.0,
521,01/09/2023,01/09/2023,Payment Thank You - Web,,Payment,2287.23,
522,01/08/2023,01/09/2023,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-105.38,
523,01/08/2023,01/08/2023,LATE FEE,Fees & Adjustments,Fee,-29.0,
524,01/06/2023,01/06/2023,DD DOORDASH AURELIOSP,Food & Drink,Sale,-60.46,
525,01/04/2023,01/06/2023,JEWEL OSCO ,Groceries,Sale,-34.76,
526,01/05/2023,01/06/2023,IN *DANIELLE RUBAN,Professional Services,Sale,-1692.27,
527,01/04/2023,01/05/2023,DOORDASH*LAZY DOG,Food & Drink,Sale,-63.13,
528,01/02/2023,01/04/2023,CROWNE PLAZA AIRPORT- THE,Food & Drink,Sale,-55.58,
529,01/02/2023,01/04/2023,CROWNE PLAZA AIRPORT- FRO,Travel,Sale,-12.84,
530,12/28/2022,12/29/2022,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
531,12/22/2022,12/23/2022,RESTAURANTE LA CLANDESTIN,Food & Drink,Sale,-49.5,
532,12/19/2022,12/20/2022,DFA TOC ,Shopping,Sale,-187.0,
533,12/18/2022,12/19/2022,GLO NAIL LOUNGE,Personal,Sale,-130.0,
534,12/15/2022,12/18/2022,STARBUCKS STORE ,Food & Drink,Sale,-11.59,
535,12/14/2022,12/16/2022,STARBUCKS STORE ,Food & Drink,Sale,-101.0,
536,12/14/2022,12/15/2022,DOWNTOWN NAPERVILLE ALL,Gifts & Donations,Sale,-350.0,
537,12/13/2022,12/14/2022,PLAINFIELD SURGERY CENTER,Health & Wellness,Sale,-99.72,
538,12/10/2022,12/11/2022,CASEYS FOODS,Groceries,Sale,-14.41,
539,12/10/2022,12/11/2022,MARIANOS ,Groceries,Sale,-49.59,
540,12/08/2022,12/09/2022,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-303.0,
541,12/06/2022,12/08/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-76.31,
542,12/07/2022,12/07/2022,Payment Thank You - Web,,Payment,2025.36,
543,12/05/2022,12/06/2022,NAPERVILLE DENTAL SPECIAL,Health & Wellness,Sale,-28.0,
544,12/04/2022,12/04/2022,DD DOORDASH JIMMYJOHN,Food & Drink,Sale,-33.76,
545,12/02/2022,12/04/2022,GLO NAIL LOUNGE,Personal,Sale,-65.0,
546,12/03/2022,12/04/2022,DD DOORDASH NANDOSPER,Food & Drink,Sale,-88.74,
547,12/01/2022,12/02/2022,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-505.0,
548,12/01/2022,12/01/2022,MED*ABC PEDIATRICS LTD,Health & Wellness,Sale,-15.05,
549,11/28/2022,11/29/2022,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
550,11/25/2022,11/27/2022,MACORNER,Home,Sale,-25.94,
551,11/24/2022,11/24/2022,Offer:Kohl's,Fees & Adjustments,Adjustment,20.0,
552,11/21/2022,11/22/2022,VENUS.COM,Shopping,Sale,-67.86,
553,11/20/2022,11/21/2022,KOHL'S #,Shopping,Sale,-454.63,
554,11/20/2022,11/21/2022,AT* MORTONARBORETUM,Gifts & Donations,Sale,-108.0,
555,11/15/2022,11/15/2022,PROTEA NUTRITION,Shopping,Sale,-107.72,
556,11/13/2022,11/14/2022,GLO NAIL LOUNGE,Personal,Sale,-130.0,
557,11/07/2022,11/09/2022,EVEREVE - ,Shopping,Sale,-426.69,
558,11/08/2022,11/08/2022,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-220.0,
559,11/07/2022,11/08/2022,KOHL'S #,Shopping,Sale,-64.94,
560,11/07/2022,11/08/2022,KOHL'S #,Shopping,Sale,-30.36,
561,11/07/2022,11/07/2022,Payment Thank You - Web,,Payment,3433.09,
562,11/06/2022,11/07/2022,HOORAY STUDIOS INC.,Shopping,Sale,-49.45,
563,11/05/2022,11/06/2022,DD DOORDASH NANDOSPER,Food & Drink,Sale,-49.38,
564,10/28/2022,10/30/2022,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
565,10/27/2022,10/30/2022,MARKET@WORK ,Food & Drink,Sale,-3.56,
566,10/27/2022,10/28/2022,COOPERS HAWK COMM CAFE,Food & Drink,Sale,-14.34,
567,10/26/2022,10/27/2022,COOPERS HAWK COMM CAFE,Food & Drink,Sale,-12.72,
568,10/25/2022,10/27/2022,CUPITOL COFFEE AND EATERY,Food & Drink,Sale,-13.54,
569,10/25/2022,10/26/2022,TARGET ,Shopping,Sale,-9.32,
570,10/24/2022,10/25/2022,CHICAGO LINE CRUISES RETA,Entertainment,Sale,-207.54,
571,10/24/2022,10/25/2022,DD DOORDASH LAZYDOG,Food & Drink,Sale,-32.2,
572,10/23/2022,10/24/2022,TARGET ,Groceries,Sale,-164.18,
573,10/21/2022,10/23/2022,GLO NAIL LOUNGE,Personal,Sale,-137.0,
574,10/20/2022,10/21/2022,DUPAGE VALLEY ANES LTD,Health & Wellness,Sale,-66.0,
575,10/17/2022,10/19/2022,FEDEX ,Personal,Sale,-31.91,
576,10/17/2022,10/19/2022,FEDEX ,Personal,Sale,-5.92,
577,10/14/2022,10/17/2022,THE GROWING PLACE - MAIN,Home,Sale,-191.79,
578,10/13/2022,10/14/2022,WALGREENS #,Health & Wellness,Sale,-63.1,
579,10/12/2022,10/12/2022,DD DOORDASH PANERABRE,Food & Drink,Sale,-37.2,
580,10/08/2022,10/09/2022,KOHL'S #,Shopping,Sale,-38.97,
581,10/08/2022,10/09/2022,Payment Thank You - Web,,Payment,1735.88,
582,10/06/2022,10/07/2022,QUEST DIAGNOSTICS,Health & Wellness,Sale,-5.11,
583,10/04/2022,10/06/2022,JEWEL OSCO ,Groceries,Sale,-14.38,
584,10/05/2022,10/06/2022,WALGREENS #,Health & Wellness,Sale,-3.82,
585,10/03/2022,10/04/2022,GLO NAIL LOUNGE,Personal,Sale,-60.0,
586,10/02/2022,10/03/2022,TRADER JOE S #,Groceries,Sale,-110.12,
587,10/02/2022,10/03/2022,DD DOORDASH DASHMART,Food & Drink,Sale,-18.02,
588,09/30/2022,10/02/2022, - NORTH GREEN,Travel,Sale,-9.0,
589,09/30/2022,09/30/2022,DD DOORDASH POTBELLYS,Food & Drink,Sale,-13.08,
590,09/28/2022,09/29/2022,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
591,09/27/2022,09/28/2022,TARGET ,Groceries,Sale,-156.96,
592,09/27/2022,09/28/2022,FBPAY BeTheMatch,Gifts & Donations,Sale,-50.0,
593,09/27/2022,09/28/2022,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-329.71,
594,09/26/2022,09/27/2022,IN *DANIELLE RUBAN,Professional Services,Sale,-1737.09,
595,09/25/2022,09/26/2022,DD DOORDASH DASHMART,Food & Drink,Sale,-20.07,
596,09/23/2022,09/25/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-247.3,
597,09/19/2022,09/21/2022,TEN LITTLE,Shopping,Sale,-76.5,
598,09/20/2022,09/21/2022,CASEYS FOODS,Groceries,Sale,-27.42,
599,09/18/2022,09/19/2022,DD DOORDASH BENJERRYS,Food & Drink,Sale,-25.82,
600,09/12/2022,09/13/2022,HOMEGOODS #,Shopping,Sale,-80.73,
601,09/11/2022,09/12/2022,TARGET ,Groceries,Sale,-194.77,
602,09/09/2022,09/11/2022,GLO NAIL LOUNGE,Personal,Sale,-115.0,
603,09/08/2022,09/08/2022,Payment Thank You - Web,,Payment,1907.06,
604,09/07/2022,09/08/2022,CITY BEAUTY,Shopping,Sale,-37.71,
605,09/02/2022,09/05/2022,THE GROWING PLACE - MAIN,Home,Sale,-114.96,
606,09/03/2022,09/04/2022,WHOLEFDS NPV ,Groceries,Sale,-242.56,
607,09/02/2022,09/04/2022,PLAINFIELD SURGERY CENTER,Health & Wellness,Sale,-619.37,
608,09/02/2022,09/02/2022,MED*ABC PEDIATRICS LTD,Health & Wellness,Sale,-116.06,
609,08/31/2022,09/01/2022,MCDONALD'S F,Food & Drink,Sale,-14.92,
610,08/29/2022,08/31/2022,COUNTRY CHIP WAGON,Food & Drink,Sale,-35.27,
611,08/29/2022,08/30/2022,SQ *THE PIE GUYS BAKERY &amp;,Groceries,Sale,-20.62,
612,08/28/2022,08/29/2022,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
613,08/26/2022,08/28/2022,LCBO/RAO #,Food & Drink,Sale,-73.76,
614,08/21/2022,08/22/2022,DD DOORDASH POKEBROS,Food & Drink,Sale,-62.44,
615,08/15/2022,08/16/2022,WALMART.COM AA,Shopping,Sale,-17.05,
616,08/12/2022,08/14/2022,CL *Chase Travel,Travel,Sale,-3622.04,
617,08/12/2022,08/14/2022,CL *Chase Travel,Travel,Sale,-253.17,
618,08/06/2022,08/07/2022,Payment Thank You-Mobile,,Payment,2297.53,
619,08/02/2022,08/04/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-117.5,
620,07/31/2022,08/01/2022,DD DOORDASH JEWEL-OSC,Food & Drink,Sale,-44.09,
621,07/30/2022,07/31/2022,DD DOORDASH POKEBROS,Food & Drink,Sale,-62.44,
622,07/30/2022,07/31/2022,DD DOORDASH ROCKBOTTO,Food & Drink,Sale,-40.19,
623,07/28/2022,07/29/2022,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
624,07/25/2022,07/26/2022,GLO NAIL LOUNGE,Personal,Sale,-125.0,
625,07/24/2022,07/25/2022,DD DOORDASH EGGHARBOR,Food & Drink,Sale,-52.09,
626,07/22/2022,07/24/2022,CASEYS FOODS,Groceries,Sale,-39.02,
627,07/21/2022,07/21/2022,MED*ABC PEDIATRICS LTD,Health & Wellness,Sale,-100.36,
628,07/21/2022,07/21/2022,DD DOORDASH SWEETGREE,Food & Drink,Sale,-22.23,
629,07/15/2022,07/17/2022,KIDSNIPS,Personal,Sale,-30.0,
630,07/15/2022,07/17/2022,DD DOORDASH SUSHINAPE,Food & Drink,Sale,-177.79,
631,07/14/2022,07/15/2022,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-279.0,
632,07/14/2022,07/15/2022,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-639.0,
633,07/13/2022,07/14/2022,EYE ENCOUNTERS,Health & Wellness,Sale,-65.0,
634,07/12/2022,07/12/2022,MED*ABC PEDIATRICS LTD,Health & Wellness,Sale,-100.36,
635,07/09/2022,07/10/2022,DD DOORDASH AURELIOSP,Food & Drink,Sale,-83.29,
636,07/07/2022,07/10/2022,TAKING CARA BABIES,Shopping,Return,75.0,
637,07/09/2022,07/10/2022,CASEYS FOODS,Groceries,Sale,-24.23,
638,07/07/2022,07/08/2022,CASEYS FOODS,Groceries,Sale,-44.83,
639,07/07/2022,07/08/2022,TAKING CARA BABIES,Shopping,Sale,-179.0,
640,07/07/2022,07/08/2022,CLR*StretchZne,Health & Wellness,Sale,-240.0,
641,07/07/2022,07/07/2022,Payment Thank You - Web,,Payment,6975.05,
642,07/06/2022,07/07/2022,TAKING CARA BABIES,Shopping,Sale,-75.0,
643,07/04/2022,07/05/2022,DD DOORDASH LAZYDOG,Food & Drink,Sale,-82.92,
644,07/01/2022,07/03/2022,DD DOORDASH POKEBROS,Food & Drink,Sale,-62.44,
645,07/01/2022,07/03/2022,GLO NAIL LOUNGE,Personal,Sale,-130.0,
646,07/01/2022,07/01/2022,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.0,
647,06/30/2022,06/30/2022,DD DOORDASH CHIPOTLE,Food & Drink,Sale,-26.55,
648,06/29/2022,06/30/2022,worldmarket.com,Home,Sale,-149.75,
649,06/28/2022,06/29/2022,PELOTON* MEMBERSHIP,Shopping,Sale,-12.99,
650,06/23/2022,06/24/2022,LULULEMON NAPERVILLE,Shopping,Sale,-94.82,
651,06/23/2022,06/23/2022,DD DOORDASH POTBELLYS,Food & Drink,Sale,-23.47,
652,06/21/2022,06/21/2022,AMZN Mktp US*UHXB,Shopping,Sale,-40.06,
653,06/20/2022,06/21/2022,DOORDASH*ROCK BOTTOM R,Food & Drink,Sale,-35.91,
654,06/18/2022,06/19/2022,SQ *TEXAS OUTLAW BBQ,Food & Drink,Sale,-75.0,
655,06/18/2022,06/19/2022,LULULEMON NAPERVILLE,Shopping,Sale,-136.85,
656,06/18/2022,06/19/2022,PROTEA NUTRITION,Shopping,Sale,-102.34,
657,06/18/2022,06/19/2022,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-297.43,
658,06/17/2022,06/19/2022,TST* Fiamme - Naperville,Food & Drink,Sale,-110.36,
659,06/17/2022,06/19/2022,WAXING THE CITY,Health & Wellness,Sale,-78.2,
660,06/15/2022,06/15/2022,DD DOORDASH NAFNAFGRI,Food & Drink,Sale,-21.13,
661,06/15/2022,06/15/2022,DD DOORDASH POTBELLYS,Food & Drink,Sale,-23.47,
662,06/11/2022,06/12/2022,worldmarket.com,Home,Sale,-127.49,
